Annual_Rainfall,Monsoon_Intensity,Cloud_Coverage,Humidity,Temperature,River_Discharge,Soil_Moisture,Drainage_Coefficient,Elevation,Deforestation_Rate,Summer_Rainfall,Winter_Rainfall,Pre_Monsoon_Rainfall,Post_Monsoon_Rainfall,Flood
1054.56,2.64,94.25,61.34,19.8,2503.52,93.44,0.121,135.4,45.24,605.83,107.05,131.42,210.26,0
3408.75,2.05,56.22,85.53,23.33,4358.13,14.77,0.584,80.27,30.11,1395.72,632.07,474.39,906.57,1
2825.4,4.83,95.53,63.77,24.89,3890.51,80.97,0.296,155.62,2.62,1680.59,210.51,306.64,627.66,1
3318.5,2.69,58.21,23.26,34.51,465.75,82.32,0.602,254.34,19.83,1568.81,323.1,405.95,1020.63,1
3184.48,2.87,45.48,45.2,37.71,4457.03,70.87,0.52,29.17,3.71,1885.28,397.47,275.16,626.57,1
2293.7,6.57,86.34,66.04,37.49,2385.25,13.13,0.618,76.87,37.43,706.73,381.62,228.51,976.84,1
3265.62,9.69,54.37,96.05,30.3,3732.12,66.74,0.596,473.83,3.18,1692.88,530.08,401.55,641.12,1
765.48,6.04,52.47,88.73,39.32,743.19,88.91,0.964,271.43,9.29,417.17,62.47,93.97,191.86,0
1087.95,0.77,54.13,38.27,28.11,3370.06,42.55,0.597,31.72,20.85,343.74,77.94,100.58,565.69,0
635.68,0.76,86.21,37.61,18.72,1219.81,41.35,0.862,346.54,23.13,301.12,60.77,66.34,207.45,0
1475.99,9.51,84.87,36.09,31.93,2219.99,44.29,0.388,30.9,20.32,797.9,180.9,210.16,287.03,1
1666.03,2.97,46.32,93.8,43.57,133.47,8.23,0.494,369.44,23.17,780.22,218.0,188.59,479.21,0
1314.05,0.92,40.0,88.21,38.79,800.47,89.2,0.523,374.98,35.66,419.37,150.29,150.14,594.25,0
2986.21,5.99,54.27,81.99,32.36,505.8,86.92,0.351,325.54,18.46,1517.1,446.33,383.61,639.17,1
1570.26,6.24,61.55,51.42,34.4,1236.73,99.79,0.442,366.1,27.39,499.62,179.22,96.61,794.81,1
1342.8,6.49,31.45,60.35,42.92,545.09,58.52,0.639,43.98,15.17,732.15,257.75,137.35,215.55,0
2128.09,2.67,81.46,57.15,27.85,3474.95,75.12,0.622,363.39,17.68,665.9,189.71,310.58,961.9,1
922.77,0.15,53.78,40.27,24.94,193.75,20.27,0.673,68.34,30.69,314.87,132.98,79.51,395.42,0
2906.59,9.65,40.06,60.4,44.32,3107.82,66.75,0.417,169.75,24.52,1111.86,411.88,231.05,1151.79,1
723.65,2.51,19.61,22.44,40.9,746.5,64.97,0.384,471.37,36.15,354.6,66.75,79.69,222.62,0
3460.66,6.76,31.5,30.54,24.69,4728.55,90.12,0.65,251.44,28.03,2051.85,386.74,249.55,772.51,1
2816.73,7.07,95.44,90.93,28.91,4668.82,83.08,0.22,483.71,40.18,944.58,295.25,297.43,1279.47,1
1096.15,6.1,37.46,80.13,27.45,1166.24,93.85,0.328,44.46,22.17,375.77,83.17,71.87,565.34,0
516.57,3.13,25.2,53.83,19.47,3091.39,86.88,0.138,238.78,24.55,212.13,62.81,55.78,185.84,0
2946.38,2.71,51.46,61.37,43.73,188.63,86.87,0.165,31.2,33.5,1623.06,318.21,324.8,680.31,1
2620.57,5.98,37.64,49.6,27.13,4662.35,6.37,0.319,315.11,11.06,1153.5,201.12,240.67,1025.28,1
2687.02,8.66,13.16,79.26,41.26,2638.79,84.6,0.118,39.35,19.3,1065.36,315.68,237.2,1068.79,1
2813.81,9.47,39.08,82.73,20.68,263.95,60.75,0.321,87.68,31.24,1317.88,318.74,209.76,967.43,1
722.13,1.06,58.97,81.06,31.44,1745.37,38.04,0.689,129.42,1.44,273.08,50.34,60.0,338.71,0
1575.4,1.55,59.65,77.81,15.72,430.4,5.65,0.155,374.37,21.85,662.22,109.77,157.28,646.13,0
847.61,9.45,42.09,36.36,37.93,1995.07,67.77,0.493,81.98,29.94,338.86,124.71,63.37,320.67,1
3089.31,7.37,50.26,47.04,32.43,3366.14,32.82,0.922,423.32,48.37,1672.07,481.89,396.31,539.04,1
2369.89,8.83,96.9,57.59,33.77,2375.96,46.78,0.812,65.95,43.85,1368.08,453.07,286.53,262.21,1
1492.69,2.03,43.96,46.46,16.55,1949.42,68.17,0.375,17.62,14.04,787.95,94.12,114.83,495.79,0
690.68,5.88,33.24,80.4,21.33,639.83,91.18,0.932,197.52,25.36,298.18,46.74,41.26,304.49,0
1432.95,7.01,31.91,46.35,17.23,1262.45,82.54,0.397,489.72,2.82,646.69,82.79,71.67,631.8,1
1475.55,6.8,51.2,31.06,23.67,545.71,45.06,0.165,55.17,12.04,498.03,191.58,161.83,624.12,0
2688.82,4.08,78.36,51.92,33.82,4047.12,38.78,0.995,50.86,38.74,1409.1,385.61,191.27,702.84,1
2412.67,0.15,28.54,98.39,31.99,719.44,23.98,0.883,375.58,6.17,1155.53,266.67,123.67,866.8,0
3161.64,5.83,73.84,38.07,33.36,2997.1,37.24,0.519,156.08,12.88,1804.45,536.48,271.61,549.09,1
1916.64,2.53,11.9,68.97,31.48,1746.57,11.1,0.7,358.64,47.2,690.34,293.26,280.21,652.83,0
858.78,4.5,47.7,54.64,23.19,1168.59,97.11,0.704,100.01,41.19,453.37,169.93,102.19,133.29,0
2639.73,9.58,79.83,25.68,22.34,3215.37,57.39,0.275,230.04,39.09,1334.13,186.59,358.41,760.61,1
2782.36,3.99,40.49,59.03,19.11,2312.16,12.78,0.28,132.64,43.23,1056.61,163.46,179.39,1382.9,1
2183.83,8.4,60.74,76.17,40.47,2030.72,35.28,0.523,225.76,37.48,1092.38,199.21,125.2,767.04,1
2812.9,1.89,28.45,61.06,33.49,2984.62,54.7,0.92,384.55,6.03,1623.92,148.68,143.89,896.41,0
1981.39,6.72,76.78,89.77,20.6,2481.77,53.29,0.109,381.0,25.83,1140.35,376.25,288.42,176.37,1
2068.2,9.77,14.71,43.11,20.32,1552.25,3.55,0.804,257.89,22.21,1066.96,197.7,165.5,638.04,1
1782.62,1.02,86.73,26.9,41.19,2817.35,95.08,0.152,464.19,15.56,560.5,236.85,171.04,814.24,0
576.26,0.08,27.84,94.93,37.28,3364.02,27.54,0.53,131.89,41.7,323.67,56.31,51.55,144.73,0
823.67,4.34,88.7,50.26,34.78,182.13,1.62,0.674,120.16,23.21,409.64,71.55,101.35,241.13,0
594.29,0.93,41.73,66.11,27.21,2356.07,7.64,0.718,306.9,3.01,233.63,43.3,48.14,269.22,0
2409.23,7.48,75.04,83.36,22.86,335.53,58.02,0.153,310.65,13.75,858.11,236.24,249.46,1065.42,1
1443.07,9.15,38.73,45.95,44.38,972.71,13.78,0.477,23.27,11.43,483.23,205.37,215.82,538.65,0
2025.71,4.34,91.53,77.29,38.92,2824.52,4.17,0.625,303.89,44.37,638.24,396.52,191.24,799.71,0
3222.7,2.59,21.4,30.83,24.05,4337.64,37.96,0.159,187.22,32.37,1695.88,430.92,338.79,757.1,1
1247.88,4.34,26.07,43.3,40.43,4419.89,62.28,0.222,373.72,28.02,462.65,162.11,125.1,498.01,1
1731.15,7.23,54.37,31.58,37.77,396.22,11.18,0.697,404.05,25.33,531.94,95.71,225.6,877.89,0
2766.65,0.09,17.37,84.9,23.91,2124.57,31.33,0.569,276.08,32.51,1159.73,486.97,212.16,907.79,0
1186.39,5.89,27.64,37.81,27.8,2935.88,41.78,0.246,0.85,37.74,527.69,67.3,79.54,511.87,0
730.94,6.13,94.94,77.39,20.58,778.0,15.95,0.582,318.18,27.72,256.39,135.91,91.67,246.97,0
1369.25,6.38,97.88,95.46,18.33,3838.89,50.61,0.921,374.44,46.91,428.87,179.1,125.37,635.91,1
983.66,2.42,43.86,62.22,36.68,3733.96,8.52,0.114,124.49,48.84,350.91,74.04,139.06,419.65,0
3289.09,7.14,93.1,63.2,23.03,4521.54,4.65,0.678,232.32,49.77,1656.82,387.31,376.32,868.64,1
2924.36,0.91,59.03,56.88,39.6,92.01,51.98,0.166,482.86,33.47,949.46,582.67,311.25,1080.98,0
2400.21,1.99,34.28,46.07,44.87,1122.59,24.79,0.106,149.06,46.63,1119.73,229.85,136.92,913.71,0
3114.38,8.77,73.22,58.05,17.3,4144.57,9.54,0.236,111.58,20.22,1071.11,281.6,383.2,1378.48,1
2911.02,7.39,69.3,68.22,29.19,3369.37,42.39,0.481,105.43,42.98,1044.2,197.08,345.26,1324.48,1
1059.71,0.14,99.02,98.88,39.06,4477.23,91.51,0.822,279.4,45.46,442.88,147.91,120.81,348.11,1
3177.68,2.48,33.85,95.02,38.67,333.04,72.42,0.354,474.89,45.21,1049.42,201.41,244.02,1682.83,1
2118.03,2.14,70.49,88.97,37.8,3004.97,81.56,0.663,304.35,41.54,745.46,349.27,306.42,716.88,1
2922.32,2.71,14.68,91.13,25.47,2866.78,87.19,0.47,151.66,20.33,1182.62,549.06,240.11,950.53,1
3188.27,2.48,20.23,57.43,28.62,226.59,97.26,0.311,319.28,7.95,1271.8,605.07,207.95,1103.45,0
1454.01,0.63,10.35,72.6,32.85,2591.93,76.32,0.563,312.42,16.7,763.04,96.24,216.24,378.49,0
830.16,4.59,99.95,91.61,44.22,3067.13,60.84,0.818,298.46,38.36,267.67,111.02,103.46,348.0,0
1183.81,7.33,82.2,51.44,24.83,996.9,36.54,0.849,79.71,11.64,660.72,76.43,108.29,338.35,0
1781.32,6.07,80.81,96.94,42.69,1402.98,18.16,0.862,317.28,23.91,970.59,241.91,255.78,313.04,0
2954.04,6.73,55.88,53.26,23.08,3219.72,68.67,0.405,215.08,28.27,1565.05,508.83,174.62,705.55,1
3082.19,0.81,37.01,68.09,44.67,2368.09,99.49,0.814,9.3,30.19,1210.72,402.75,181.13,1287.6,1
520.86,9.51,23.61,76.78,35.11,4297.17,46.74,0.291,269.88,46.79,284.84,94.18,61.59,80.25,1
2032.24,8.38,35.62,96.05,28.91,1744.79,72.37,0.765,494.63,33.07,721.12,345.99,137.78,827.35,1
1752.23,8.05,43.84,39.57,33.4,1369.97,49.51,0.954,174.87,39.31,591.07,160.3,248.32,752.55,1
1166.32,8.23,78.07,79.69,23.18,4925.09,43.19,0.112,482.78,29.09,365.63,168.55,156.33,475.82,1
859.6,9.33,58.57,61.67,23.23,4560.12,41.03,0.496,48.1,41.68,500.11,43.94,69.32,246.24,1
1512.85,5.44,16.97,41.48,18.41,193.51,50.46,0.683,366.23,13.18,593.65,165.51,210.11,543.58,0
3328.73,2.0,11.62,82.13,18.42,3865.11,36.69,0.732,57.16,10.49,1914.97,285.25,180.71,947.8,1
1469.61,6.17,19.21,64.18,25.43,596.16,74.88,0.258,136.79,46.32,561.07,280.06,154.11,474.37,0
2056.37,7.43,46.94,72.88,37.89,186.05,87.43,0.975,285.42,34.67,1176.8,227.86,295.21,356.5,1
2609.06,7.38,93.99,45.83,33.24,1404.79,88.29,0.654,296.39,33.58,1490.24,386.43,353.63,378.77,1
1590.89,5.21,67.37,58.5,18.08,1383.26,22.77,0.248,387.61,23.36,918.11,254.22,136.19,282.37,0
3415.35,0.68,82.16,69.39,40.57,4105.63,89.59,0.118,307.66,18.83,1532.96,566.89,233.22,1082.27,1
3387.34,3.71,51.97,52.39,33.04,3567.8,34.16,0.805,296.81,27.78,1896.18,543.22,240.68,707.26,1
1255.35,9.21,42.55,35.87,43.83,4908.97,30.93,0.172,456.18,6.03,734.67,117.22,127.36,276.11,1
1991.75,5.84,19.76,96.93,35.11,3571.99,72.68,0.227,226.08,22.74,791.49,304.56,218.45,677.25,1
1402.63,5.38,88.83,60.92,20.26,2120.36,30.47,0.617,112.63,22.77,597.05,185.64,74.73,545.21,1
1354.52,2.69,80.48,78.71,29.21,3509.69,5.3,0.643,80.89,26.92,698.62,189.1,123.74,343.06,0
610.66,3.68,25.13,52.88,34.45,4997.32,37.36,0.718,200.0,31.73,238.22,30.61,81.24,260.59,0
2328.69,8.95,56.1,48.41,15.85,3565.2,72.15,0.454,356.38,47.87,1225.23,206.65,219.91,676.92,1
2008.04,6.66,53.86,52.57,15.45,3820.32,32.7,0.797,21.27,32.61,646.92,380.73,134.37,846.01,1
654.44,7.87,66.26,52.74,18.88,4694.91,62.96,0.977,64.53,44.19,299.11,61.2,95.21,198.92,1
1335.94,4.54,95.16,63.53,22.55,612.57,66.01,0.344,53.06,27.82,449.8,154.57,102.37,629.2,0
3224.8,6.3,62.18,63.48,27.89,3538.68,73.37,0.733,292.63,31.35,1251.21,251.54,418.72,1303.33,1
1218.69,2.48,58.62,59.77,29.62,4261.49,89.71,0.936,121.43,3.49,460.16,86.27,84.55,587.7,1
934.68,7.05,14.53,30.78,19.14,4774.17,43.26,0.718,83.13,6.66,515.65,75.99,86.29,256.76,0
1968.36,4.28,15.66,59.69,35.2,1094.3,16.64,0.713,296.39,28.98,704.78,261.88,194.95,806.74,0
3456.95,4.43,26.86,33.53,32.88,2544.45,31.89,0.301,380.65,19.79,1875.51,649.4,345.91,586.12,1
1226.17,6.49,12.92,30.09,23.83,3418.75,43.22,0.582,166.08,39.94,659.91,121.3,124.64,320.32,1
2516.41,9.36,76.9,94.61,15.41,1274.97,71.39,0.606,289.1,27.16,1131.54,247.89,182.43,954.55,1
2784.86,0.64,75.1,68.4,17.33,3022.34,1.31,0.73,49.06,44.11,1030.82,374.9,282.92,1096.22,0
1212.91,8.25,22.25,72.76,26.75,1325.01,31.58,0.997,467.6,48.62,446.44,125.55,119.07,521.85,0
2684.65,2.92,85.25,52.14,19.62,1700.61,77.98,0.13,168.45,7.38,1179.84,500.85,190.27,813.69,1
1603.35,4.44,23.93,92.72,26.3,2235.52,67.09,0.159,498.75,19.74,485.24,171.04,238.61,708.46,0
2396.92,0.22,37.11,71.03,33.85,2669.49,73.17,0.17,489.29,33.25,1101.16,296.18,327.31,672.27,0
2400.59,3.01,32.41,81.53,31.42,2274.36,81.18,0.769,389.41,15.27,1406.35,312.1,333.1,349.05,0
2107.32,5.03,43.51,49.48,21.94,2491.32,78.32,0.223,10.03,13.35,730.0,352.58,249.84,774.91,1
770.87,0.56,32.92,96.8,25.31,1528.01,68.22,0.66,271.74,40.69,363.85,103.75,50.87,252.4,0
3005.91,4.91,54.01,85.64,33.42,836.88,43.97,0.392,43.42,49.02,1769.08,258.13,321.06,657.64,1
1462.34,9.27,46.67,88.32,40.83,284.38,98.36,0.512,447.57,38.69,816.21,100.31,193.24,352.57,1
1059.56,1.05,98.79,33.78,37.6,1020.09,56.91,0.294,394.82,26.18,588.17,202.02,57.08,212.28,0
622.33,7.64,15.03,41.68,31.6,2930.62,20.28,0.879,486.17,22.13,340.14,105.94,61.97,114.28,0
2272.68,4.1,22.8,42.85,25.87,3941.27,29.28,0.628,304.19,26.98,892.5,121.46,203.66,1055.06,1
2532.69,6.55,14.75,41.67,25.95,887.78,69.36,0.95,261.09,23.14,1436.51,438.74,180.36,477.09,0
549.76,2.6,66.33,88.43,41.38,587.35,92.47,0.617,259.49,25.14,320.18,76.19,48.28,105.11,0
2036.28,1.59,14.91,22.55,16.18,3758.99,17.87,0.212,193.22,10.17,913.76,260.31,302.08,560.14,0
1179.49,1.6,85.28,26.09,44.64,1560.53,8.23,0.254,234.35,45.19,479.31,61.14,144.28,494.76,0
2435.52,0.7,56.07,41.91,34.93,4759.92,88.15,0.99,317.71,37.73,1033.31,407.05,194.73,800.43,1
1023.1,1.86,57.43,35.99,35.43,3585.87,91.53,0.753,466.47,34.05,409.51,81.55,113.09,418.95,1
2572.81,6.64,60.54,38.55,16.14,1667.44,27.64,0.144,297.94,47.5,935.8,409.58,192.1,1035.33,1
1660.21,8.82,25.37,83.84,33.17,1483.24,37.73,0.733,428.56,14.22,806.09,86.96,184.42,582.73,1
3310.19,8.14,27.79,65.05,29.54,2642.31,66.02,0.471,431.39,4.06,1551.75,560.92,462.16,735.36,1
912.56,6.85,38.69,20.46,18.17,441.77,32.99,0.376,259.42,41.31,400.41,48.78,96.45,366.92,0
1523.2,1.1,63.41,54.35,23.34,632.5,87.72,0.239,173.73,49.92,500.76,130.06,187.86,704.52,0
840.42,2.89,28.91,52.63,41.71,920.5,10.76,0.856,319.79,28.92,453.04,75.84,80.12,231.42,0
3274.08,3.1,20.47,29.12,31.5,3884.88,3.8,0.157,222.94,2.94,1154.05,241.06,335.31,1543.67,1
3132.02,2.5,97.31,74.09,27.4,2593.59,20.85,0.361,40.72,39.02,1047.25,382.6,374.3,1327.87,1
1273.82,5.15,11.98,76.17,17.18,102.31,28.61,0.376,188.9,3.69,620.25,117.9,167.18,368.5,0
2479.95,5.36,82.24,77.67,36.42,3383.91,11.29,0.245,497.04,27.0,1040.57,493.49,287.54,658.35,1
2951.67,3.57,80.92,78.28,36.09,2147.27,6.57,0.557,24.26,13.88,938.46,404.36,436.11,1172.74,0
2165.6,3.54,36.75,20.0,33.42,2578.72,75.56,0.111,348.33,45.75,880.69,292.29,285.82,706.8,1
2088.95,8.29,22.21,96.31,30.31,1109.88,16.43,0.371,420.59,22.57,1110.35,173.66,266.79,538.15,1
1225.56,7.89,23.11,85.14,28.01,2781.32,91.39,0.94,324.36,44.92,593.87,136.41,164.85,330.42,1
779.31,3.08,72.77,92.32,32.8,4896.81,36.8,0.379,284.87,14.95,318.61,53.46,60.88,346.36,0
3191.65,9.14,67.85,21.25,22.0,413.55,67.06,0.424,353.78,19.37,1141.15,524.64,297.48,1228.38,1
3201.25,9.53,80.45,94.71,43.24,1455.39,22.54,0.526,214.67,47.36,1567.14,319.08,340.76,974.27,1
2399.3,3.27,94.37,84.78,32.66,1252.84,24.03,0.606,45.68,10.07,1358.65,390.59,230.91,419.16,0
1517.09,3.54,72.27,86.98,24.34,1280.32,57.47,0.828,481.19,28.93,749.26,160.44,204.42,402.97,0
1547.63,5.06,24.03,27.46,28.49,1924.6,56.06,0.271,216.15,19.43,841.71,306.92,81.57,317.43,0
2677.87,9.41,31.91,79.1,39.17,4099.64,76.87,0.885,332.69,38.71,1222.33,202.63,189.91,1063.0,1
3191.33,8.76,85.8,96.79,19.85,4568.65,75.78,0.782,265.66,6.46,1644.78,160.3,440.95,945.3,1
3161.26,1.03,28.84,74.28,23.79,1050.96,67.07,0.75,27.34,21.86,1798.34,440.12,176.75,746.05,1
2839.63,3.93,16.53,65.64,35.39,2737.6,44.91,0.178,476.37,34.95,1510.55,547.89,206.44,574.75,1
2426.09,5.53,73.3,95.65,24.46,3202.65,89.06,0.119,396.27,20.35,1390.05,356.78,206.52,472.75,1
752.42,5.03,46.23,55.43,38.78,2633.05,62.26,0.635,74.55,2.93,323.05,47.3,94.11,287.97,0
984.89,1.94,92.8,67.94,18.91,2198.68,99.02,0.877,490.82,35.26,562.63,129.09,104.42,188.75,0
3195.66,8.59,68.52,58.11,37.88,1000.28,81.94,0.626,368.45,25.16,1554.59,595.75,464.84,580.48,1
2319.29,6.77,18.14,94.63,17.05,2466.69,4.43,0.292,236.16,0.57,1301.15,118.23,168.82,731.09,1
527.59,8.38,95.31,26.09,15.38,2036.01,32.06,0.181,305.69,30.63,164.51,39.59,72.39,251.1,0
804.41,8.59,33.27,60.09,41.95,3988.04,57.19,0.73,53.37,45.99,400.08,138.51,62.98,202.85,1
2490.51,7.48,40.35,74.96,32.44,3829.84,72.15,0.75,280.21,5.55,1380.72,458.47,185.67,465.65,1
515.18,4.39,46.2,83.35,25.55,713.29,55.03,0.255,36.83,29.53,181.48,80.41,51.43,201.86,0
982.42,6.11,14.61,66.64,21.98,488.17,78.61,0.125,272.43,36.43,489.77,195.24,56.12,241.29,0
2146.2,1.6,54.69,92.71,33.51,4545.36,28.27,0.467,276.35,3.54,1175.02,136.35,189.79,645.04,1
2575.69,6.74,21.1,95.36,30.27,2700.77,18.39,0.624,437.22,1.13,995.21,339.61,220.4,1020.48,1
2455.88,1.79,46.09,25.15,44.75,4296.11,5.39,0.735,362.53,23.21,1035.34,375.13,162.11,883.3,0
1172.81,6.94,41.56,52.19,44.5,337.85,57.33,0.829,124.78,39.56,552.22,182.25,159.6,278.74,0
2636.54,2.3,79.56,21.88,34.05,2656.25,68.86,0.649,444.21,8.04,1201.6,445.63,233.57,755.73,0
1211.75,1.18,82.29,46.35,28.29,2720.16,32.61,0.2,286.62,41.83,377.77,227.38,179.57,427.03,0
1476.2,1.65,23.81,62.95,29.73,4310.48,61.36,0.714,303.19,32.83,486.56,153.89,206.62,629.13,0
2739.47,0.02,42.99,92.86,35.47,533.17,5.22,0.986,84.49,16.61,904.41,154.63,190.34,1490.09,0
2448.9,7.19,43.6,87.72,18.05,1240.21,9.93,0.915,428.89,25.79,927.35,255.58,246.14,1019.82,1
3047.67,7.32,23.63,30.2,24.85,2062.36,70.18,0.885,465.48,48.28,1139.09,459.41,335.79,1113.37,1
2472.84,5.15,81.86,27.44,17.26,4335.92,36.81,0.372,387.5,10.82,1292.47,202.82,326.16,651.39,1
2204.93,1.61,73.65,67.14,17.2,4697.47,67.13,0.776,470.38,24.98,1040.34,378.14,305.52,480.93,1
781.02,0.84,27.13,62.57,20.88,4963.99,83.17,0.866,151.15,31.22,413.31,64.8,87.79,215.13,0
1603.15,0.19,43.0,41.31,29.56,4798.01,85.26,0.71,430.56,6.9,514.56,82.58,85.79,920.22,0
1295.61,1.66,19.52,91.96,38.54,79.41,17.22,0.326,244.45,2.18,577.28,163.52,127.13,427.67,0
1231.97,8.91,66.54,94.19,29.56,286.16,48.63,0.958,81.96,0.67,489.26,195.85,170.6,376.27,0
3419.03,2.42,20.92,52.21,25.06,780.65,73.39,0.506,334.4,16.23,1897.5,350.27,415.1,756.16,0
1679.29,3.54,98.73,91.22,17.47,1776.87,77.4,0.217,342.06,3.7,860.36,272.61,230.09,316.24,1
